合肥,英菲尼迪JX 2013款 3.5L 卓越版,2013年,6.20万公里,31.80万,2018-07-20,61.80万
合肥,POLO 2016款 1.6L 自动 舒适版,2016年,2.00万公里,7.28万,2018-07-20,10.39万
合肥,起亚K2 2012款 三厢 1.4L 手动 GLS 纪念版,2014年,4.90万公里,4.28万,2018-07-20,7.79万
合肥,福瑞迪 2012款 1.6L 自动 GL 纪念版,2013年,7.20万公里,5.28万,2018-07-20,10.88万
合肥,迈腾 2013款 1.8T 手自一体 领先型,2013年,6.86万公里,13.28万,2018-07-20,21.98万
合肥,马自达3 昂克赛拉 2014款 三厢 1.5L 自动 尊贵型,2015年,5.21万公里,9.88万,2018-07-20,14.79万
合肥,奔驰B级 2012款 B180 1.6T 双离合,2013年,8.95万公里,13.80万,2018-07-20,27.80万
合肥,标致308 2012款 1.6L 自动 优尚型,2013年,7.62万公里,5.28万,2018-07-20,11.39万
合肥,科鲁兹 2015款 三厢 1.5L SE AT 经典版,2014年,4.30万公里,6.58万,2018-07-20,10.99万
合肥,逸动 2012款 1.6L 自动 豪华型,2012年,6.74万公里,4.68万,2018-07-20,8.89万
合肥,嘉年华 2013款 三厢 1.5L 手动 风尚型,2015年,3.71万公里,4.98万,2018-07-20,7.99万
合肥,奔驰E级(进口) 2014款 E200 Coupe,2014年,4.80万公里,29.68万,2018-07-20,53.00万
合肥,迈锐宝 2016款 2.0L 手自一体 豪华版,2016年,1.91万公里,11.98万,2018-07-20,17.99万
合肥,雷凌 2016款 1.6G-L CVT 领先版,2016年,3.43万公里,10.18万,2018-07-20,13.08万
合肥,朗逸 2008款 2.0L自动品雅版,2010年,7.30万公里,5.38万,2018-07-20,13.88万
合肥,凯越 2015款 1.5L 自动 经典型,2015年,4.28万公里,5.60万,2018-07-20,9.19万
合肥,迈锐宝 2012款 2.0L 手自一体 豪华版,2012年,5.91万公里,8.60万,2018-07-20,17.99万
合肥,荣威550 2014款 550S 1.8L 双离合 智选版,2014年,7.08万公里,6.80万,2018-07-20,12.98万
合肥,凯美瑞 2013款 200E 自动 经典 精英版,2014年,6.71万公里,11.80万,2018-07-20,18.28万
合肥,福睿斯 2015款 1.5L 自动时尚型,2015年,4.42万公里,7.68万,2018-07-20,11.98万
合肥,宝骏730 2014款 1.5L 手动 标准型 7座,2015年,5.20万公里,4.98万,2018-07-20,6.98万
合肥,别克GL8 2015款 2.4L SIDI尊享版,2016年,5.20万公里,19.38万,2018-07-20,30.99万
合肥,福克斯 2012款 两厢 1.6L 自动 舒适型,2015年,3.60万公里,8.28万,2018-07-20,13.09万
合肥,凯迪拉克XTS 2015款 28T 精英型,2015年,5.00万公里,21.50万,2018-07-20,36.99万
合肥,宝马2系 2015款 218i 敞篷轿跑车,2015年,3.50万公里,24.70万,2018-07-20,32.53万
合肥,宝马X1 2014款 sDrive18i 时尚型,2015年,6.00万公里,17.90万,2018-07-20,28.50万
合肥,迈腾 2012款 1.8T 手自一体 豪华型,2012年,11.30万公里,12.38万,2018-07-20,23.28万
合肥,本田CR-V 2013款 2.0L 两驱 经典版,2014年,11.86万公里,13.98万,2018-07-20,20.78万
合肥,哈弗H5 2013款 智尊版 2.0T 手动 两驱 精英型,2014年,3.87万公里,5.50万,2018-07-20,10.78万
合肥,凯迪拉克ATS-L 2017款 28T 时尚版,2017年,1.80万公里,21.89万,2018-07-20,31.88万
合肥,瑞风 2008款 彩色之旅 2.4L汽油 手动基本型,2009年,7.20万公里,2.98万,2018-07-20,11.98万
合肥,索纳塔 2015款 1.6T 自动 GLS 智能型,2016年,3.00万公里,13.20万,2018-07-20,19.48万
合肥,科雷傲(进口) 2010款 两驱 豪华版,2012年,17.56万公里,8.98万,2018-07-20,27.28万
合肥,奔驰E级 2017款 E 300 L 豪华版,2016年,6.40万公里,41.80万,2018-07-20,49.98万
合肥,奥迪A6L 2016款 TFSI 舒适型,2016年,4.50万公里,29.99万,2018-07-20,44.85万
合肥,本田UR-V 2017款 370TURBO 手自一体 四驱 尊耀版,2017年,1.50万公里,29.90万,2018-07-20,32.98万
合肥,汉兰达 2015款 2.0T 手自一体 四驱 豪华导航版 ...,2015年,7.60万公里,27.40万,2018-07-20,30.28万
合肥,奥迪A6L 2014款 TFSI 标准型,2014年,4.80万公里,26.20万,2018-07-20,40.98万
合肥,奥迪A4L 2013款 35 TFSI 自动 标准型,2013年,8.20万公里,17.98万,2018-07-20,30.98万
合肥,保时捷Panamera 2010款 panamera,2012年,8.40万公里,47.70万,2018-07-20,112.83万
合肥,凯迪拉克ATS-L 2014款 25T 时尚型,2015年,4.00万公里,18.20万,2018-07-20,30.88万
合肥,帝豪 2014款 三厢 1.5L 手动 时尚型,2015年,6.57万公里,4.68万,2018-07-20,6.98万
合肥,揽胜极光(进口) 2015款 2.0T 5门耀动版,2014年,6.10万公里,31.50万,2018-07-20,62.80万
合肥,传祺GA3 2013款 1.6L 手动 精英版,2014年,8.66万公里,3.38万,2018-07-20,7.58万
合肥,唯雅诺 2014款 3.5L 卓越版,2014年,2.60万公里,32.60万,2018-07-20,68.90万
合肥,观致5 2016款 1.6T 双离合 豪华型,2017年,3.68万公里,14.60万,2018-07-20,19.49万
合肥,福克斯 2012款 三厢 1.6L 手动 舒适型,2013年,5.60万公里,5.49万,2018-07-20,11.99万
合肥,fortwo 2015款 1.0L 硬顶灵动版,2016年,1.80万公里,8.98万,2018-07-20,11.68万
合肥,别克GL8 2014款 2.4L SIDI舒适版,2016年,3.90万公里,21.60万,2018-07-20,28.99万
合肥,凯迪拉克XT5 2016款 25T 豪华型,2016年,5.00万公里,29.50万,2018-07-20,38.99万
合肥,蔚领 2018款 230TSI 双离合 舒适版,2017年,1.60万公里,11.98万,2018-07-20,14.89万
合肥,菲跃 2012款 2.4L 豪华 7座,2013年,6.50万公里,13.88万,2018-07-20,27.48万
合肥,宝马3系 2016款 320Li 时尚型,2016年,3.70万公里,24.56万,2018-07-20,34.98万
合肥,大众CC 2013款 2.0T 双离合 豪华型,2015年,6.40万公里,17.98万,2018-07-20,28.38万
合肥,瑞风M4 2017款 2.0T 手动 豪华版,2017年,3.00万公里,10.60万,2018-07-20,12.98万
合肥,宝马3系 2011款 320i 时尚型,2011年,9.60万公里,12.50万,2018-07-20,34.50万
合肥,POLO 2014款 1.4L 手动 风尚版,2014年,2.91万公里,5.88万,2018-07-20,7.59万
合肥,哈弗H2 2016款 红标 1.5T 手动 两驱 豪华版,2016年,3.16万公里,7.58万,2018-07-20,10.98万
